"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31802","verify login","firefox","2026-06-25","passed","2026-06-25","","automationexercisetest\logout.test.ts","",""
"","24540","verify login","firefox","2026-06-25","passed","2026-06-25","","automationexercisetest\login.test.ts","",""
"","25390","verify login","chromium","2026-06-25","passed","2026-06-25","","automationexercisetest\logininvalid.test.ts","",""
"","27334","verify login","chromium","2026-06-25","passed","2026-06-25","","automationexercisetest\login.test.ts","",""
"","35174","Verify registration","chromium","2026-06-25","passed","2026-06-25","","automationexercisetest\register.test.ts","",""
"","29361","verify login","chromium","2026-06-25","passed","2026-06-25","","automationexercisetest\logout.test.ts","",""
"","13678","Verify registration","webkit","2026-06-25","passed","2026-06-25","","automationexercisetest\register.test.ts","",""
"","13305","verify login","webkit","2026-06-25","passed","2026-06-25","","automationexercisetest\logout.test.ts","",""
"","24678","verify login","firefox","2026-06-25","passed","2026-06-25","","automationexercisetest\logininvalid.test.ts","",""
"","10175","verify login","webkit","2026-06-25","passed","2026-06-25","","automationexercisetest\login.test.ts","",""
"","12044","verify login","webkit","2026-06-25","passed","2026-06-25","","automationexercisetest\logininvalid.test.ts","",""
"","29606","Verify registration","firefox","2026-06-25","passed","2026-06-25","","automationexercisetest\register.test.ts","",""
